dim,trace_2,eigenvalues
2,-2.290705022139756,"[-0.3484180466156932, -1.9422869755240628]"
9,-5.108949727494993,"[0.5608725298656614, -1.778704841269672, 0.11150574066757812, -2.016776824894305, 1.4757760526454615, -1.0950687337278835, 0.4615283943999291, -2.013684711792467, -0.8143973333892949]"
2,1.6048964094857898,"[-0.41392515410637376, 2.0188215635921636]"
8,6.8166667007498685,"[0.02718389631414997, -2.738586118892537, 1.7261486745211703, 1.990331918137445, 2.364601007538067, 1.9200600943359034, 0.9373435746121825, 0.5895836541834871]"
5,2.364294884612244,"[0.6436808218584074, 1.9123992989604326, -2.0421909207208775, 1.3692015613090658, 0.4812041232052158]"
4,0.36886922650307685,"[-2.0539541865624207, 0.6774389821811684, 1.1187144950188412, 0.6266699358654879]"
8,1.3141996920982528,"[-2.1785135487651925, 0.754942188090403, -0.3128856636849058, 2.3335930045314206, 1.5362769235877498, 0.30938955275260316, -1.9377493338055922, 0.8091465693917668]"
11,-1.435297629793741,"[0.7264581137965993, -1.4431460501011368, -0.8493788762369274, -0.2839560658071667, 0.5005791935986581, 1.933657732227433, -1.7042546467284805, -0.3878106719735981, 0.9460353163090445, 1.2788612401022337, -2.1523429149804]"
2,-1.0322852873337676,"[-1.1745512517160457, 0.14226596438227812]"
12,-2.0212864666242867,"[-1.4533523060615923, -0.18966745104940097, -0.2241256291044036, 1.7244481390869084, -2.1909633594996545, 1.2298286489351065, 0.6770856244499357, -0.6944245053813938, 0.781324596751729, 1.238903933929239, -1.5408285909796775, -1.3795155677010826]"
11,3.238882456012494,"[1.283329930796285, 0.8811778896869917, 0.5360210174074034, 0.16438564014832346, 0.3401233865235649, 1.2236614369515935, -0.410987876217336, 1.174452300123416, -0.4223667875887718, -0.3934432580107372, -1.1374712238082394]"
7,0.19876256020020167,"[1.5896557366498016, 1.8391740496238387, -1.5888473517342234, 0.0030880806433999375, 0.4467274451216867, -0.392135140460669, -1.698900259643633]"
6,0.8776200874976254,"[2.4972244910588235, 0.8382180993138677, -0.8820088999737392, -1.0188657289054346, -0.14113646322545303, -0.4158114107704387]"
3,-0.8299408594153648,"[-2.065872424533291, 1.1073687792400242, 0.12856278587790193]"
5,0.2647235344907255,"[0.0642893731138292, -1.0585802149241788, -1.7668929141675773, 0.9409068220455508, 2.0850004684231016]"
8,3.726142287275408,"[2.587829164581611, 0.6776159969995805, -0.31937290043363964, -1.896833185077245, 1.537169349303276, 0.007212021694625204, 0.5025021454498857, 0.6300196947573142]"
11,0.37903770248495827,"[-2.225951310573532, 1.6983586763486271, -0.6247693742551412, 2.456058774581558, 0.4714528787808532, 0.6288739948186866, -1.8593666310815926, 1.6095166975045836, -1.700615051736991, -0.30338051601642935, 0.2288595641143356]"
9,-5.2645046900620045,"[-1.3502740608354518, -0.03401605232599003, 2.1857697287251905, -0.16141837840339157, -1.8462844566718772, -0.4502111426151454, -0.6050590464442287, -0.7312065922807092, -2.271804689210401]"
6,0.4150434759469037,"[0.9518483652907692, 1.4295520333971914, 1.2208867383825672, -0.6486467517787204, -0.9078444547501283, -1.6307524545947756]"
4,-0.08077702160236333,"[0.23839050878801427, 1.4568772848426481, -0.26335509476000984, -1.5126897204730159]"
12,2.9601742365826196,"[-1.0283175682928352, 1.8861214600953313, -1.513937983052014, 0.22559192740529665, 0.5902917138574351, 1.0457510661087825, 2.0255621202673857, 1.4364539989521137, 1.5321679359784341, -1.7590426436401052, -1.1699776001452007, -0.31049019095200325]"
5,-4.015657157056347,"[-1.9845315228964153, 1.2566591750257543, 0.30062947201748447, -1.3862884980023136, -2.2021257832008563]"
3,-2.1843647520144254,"[-2.7544378322100864, -0.336694420828509, 0.90676750102417]"
4,3.465743940349496,"[-0.3840960528020476, 1.0922445860130936, 0.6054407361031684, 2.1521546710352815]"
4,0.19632267013022098,"[-1.3753832518562072, 0.8739264360387615, 0.19913413281153503, 0.4986453531361317]"
5,0.18968960680150504,"[-0.3055869074353246, 2.104441754440614, -0.6878883799241633, -2.169226273802887, 1.247949413523266]"
8,-5.320107833311819,"[-1.5658726306478796, 1.014427517611023, -0.05286672864799691, 1.6572637574324571, -2.3467459783626334, 0.054377958327238574, -1.7520387946225728, -2.3286529344014535]"
2,-1.8799508952964334,"[-0.28945804668941655, -1.590492848607017]"
