dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy
1,4840,0.0020173559817554558,0.030779536705552207,1.4366556276409779,0.057466225105639125,3.207878223328486
2,2367,0.013545616693537224,0.04966143876941751,1.6145583287471403,0.12312244208688117,3.1875332995700147
3,1280,0.012657342221302244,0.05692157646461622,1.6832440144231622,0.18557591675553836,3.178972003364951
4,914,0.013653792663344228,0.05686872739949321,1.7120636308908284,0.23735416106820784,3.1787073718056846
5,572,0.018665133719747925,0.07285727261471461,1.9343098533840495,0.316286929657679,3.153720829795808
6,505,0.014215119545532418,0.07013500570381526,1.7518241086553201,0.3632920716352936,3.158533559650345
7,335,0.01329795519142198,0.07427716720346698,1.7476846689860126,0.4169974755488422,3.1509089365857865
8,313,0.016944091516168568,0.07718247066690022,1.9573017570720328,0.4691677464107121,3.1467468523139996
9,237,0.01725797080048013,0.08729515021151944,2.056360401399415,0.5360314647764978,3.1266739599765434
10,233,0.008661972366338047,0.08311663554274208,1.8933092521302517,0.5669341502735042,3.135232084752756
11,163,0.027844295464664312,0.09977275560554907,2.1181628588565533,0.6522913874020975,3.0929351673741463
12,161,0.00854912053341836,0.10592699530990365,2.160365946853562,0.6936844948504957,3.088355172390985
13,133,0.005709696674480042,0.11638420778384012,2.4599174849249748,0.7368643495141229,3.065720180161794
14,142,0.02112143123728938,0.10984461809533436,2.331127253452967,0.7725420862028544,3.0733225328222975
15,104,0.005347601653742441,0.12619094012566792,2.5616354649494464,0.8252580566946219,3.0339411962702276
16,98,0.010299974711300442,0.11760488556763463,2.408709281537178,0.8496501252711226,3.0516324603393397
17,76,0.006867570085360213,0.14279208585295403,2.789405784131265,0.893241323303347,2.984084729972346
18,91,-0.01294060061484323,0.13948064883279537,2.62714353464598,0.9128156237827725,2.9939659673219223
19,55,0.0020319235537289778,0.1589425633690738,2.782146436610331,0.9526600918947656,2.9227403847561453
20,70,-0.0036169349508755094,0.14498300861742155,3.1455634037235054,0.9420048515860046,2.9894987297506406
21,60,0.3289004413658642,0.19734939333952972,9.201088328852652,0.9900167929722932,2.269158404886034
22,66,0.3733077679012779,0.17026042727491264,10.144499121677914,0.9926624060670279,2.2323133994101867
24,64,0.3519629504013642,0.18642491416367357,9.635963948011334,0.9984153696872998,2.2331318641658484
26,54,0.3748274152296771,0.17869415825354848,10.166914629949051,1.0,2.197052296696041
27,51,0.3923732339594511,0.18306843647704085,10.69863459703953,1.0,2.137082509351523
