dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy
1,17198,0.0042675703156445045,0.021834912788083298,1.1383517196380222,0.1138351719638022,2.300391058667175
2,8026,0.01784526922357575,0.03273226367054004,1.2266818446247219,0.2352205071154473,2.2964292966476414
3,4305,0.0109853058919562,0.03169618988468293,1.2068816678989065,0.3366084014779821,2.2975875411293183
4,3133,0.017368137081067485,0.03163822456636809,1.203151740176193,0.44749298268063714,2.296787877083128
5,2093,0.02421832125294696,0.04079944569108041,1.3383823217487871,0.5525056049267716,2.292870972242562
6,1812,0.013014245906659672,0.0363574534116852,1.2333701250149682,0.6439986500887833,2.2959482296183795
7,1201,0.009225835939449433,0.03961895867227624,1.2390882651793087,0.7407535826226427,2.295154193601167
8,1291,0.012291724918514234,0.04854415483126391,1.29793464010695,0.8373790690420014,2.2914267733856963
9,923,0.021517906854707638,0.05487942643275274,1.352674371264121,0.9289004788166932,2.2871413574869632
10,892,0.0043859987264390395,0.05106163801983742,1.2845783168781293,1.0,2.2908465663995665
11,683,0.014552752610081912,0.06222256485768921,1.3356287211775886,1.0,2.28447280368691
12,732,0.004984988985848532,0.05439518438355162,1.2802873444019252,1.0,2.288889929852429
13,575,0.012352070287072647,0.07100605541937507,1.3802506320552932,1.0,2.2791563970061524
14,597,0.0038000091222824346,0.059172104388800134,1.3472385136722347,1.0,2.286626204125464
15,512,-5.491980375640691e-05,0.06191879689897576,1.3529076451103057,1.0,2.285173107553918
16,529,-0.003807524323795176,0.07019922735435899,1.4403500966392249,1.0,2.280350401545516
17,421,0.0037512383409892412,0.08406408838660223,1.5050267952678005,1.0,2.2706016917859473
18,475,-0.011156972614176497,0.07402467081402968,1.3776389773537634,1.0,2.27711123934844
19,350,-0.0023789600787763776,0.08606358411442637,1.419157712675461,1.0,2.268791075008213
20,386,-0.01638924209298206,0.08033789570728109,1.4590602713049339,1.0,2.2720721789262948
21,306,0.2911742465868429,0.1342433382346787,3.7656957996760383,1.0,1.9776310581238914
22,347,0.2829603088720357,0.11883077727526674,3.6459889894746658,1.0,2.0034592744427853
23,289,0.3000752625396321,0.14348635303447563,3.857759033066209,1.0,1.9532816906707438
24,337,0.28134330171624383,0.11684039026294828,3.619740713370885,1.0,2.006822274119538
25,245,0.2859633744715078,0.1358180309589422,3.702368757533841,1.0,1.979702542070962
26,262,0.30411753109789286,0.11923441913927393,3.820678071328537,1.0,1.9697802586761652
27,218,0.3056057506937617,0.15650751393968595,3.970578778837309,1.0,1.9335669943304254
28,213,0.2985198833923226,0.12611070041651232,3.8160566255623154,1.0,1.9766973709115903
29,177,0.29548976465271803,0.14545385666216237,3.7936416724637327,1.0,1.9477357877261503
30,209,0.2758350500905013,0.12400393656296771,3.590848708407413,1.0,2.0075920924927995
31,132,0.3141431329978622,0.14186089475219227,3.991501057401642,1.0,1.937195452597894
32,173,0.2914815728290006,0.1539334958778039,3.8335983639262743,1.0,1.9564764928316274
