dim,n_forms,mean_rho,rho_std,top1_eigenvalue,rank_d_concentration,spectral_entropy,stratification
1,87,-0.027515792148301788,0.1316833814774722,2.903138261318969,0.11612553045275878,3.0098066089993307,level_level_0-100
1,859,-0.0160585679028568,0.05698846837499955,1.7677654135573593,0.07071061654229437,3.1777015619811455,level_level_100-500
2,426,-0.010933808137022188,0.07678195500631414,2.1123823234533994,0.14994373961651503,3.1503333118181733,level_level_100-500
3,216,-0.008526728826029348,0.09405157754581811,1.9137381687406054,0.22332084235742214,3.1110316322973968,level_level_100-500
4,110,-0.001155928626278672,0.12340093681215339,2.2489072471408655,0.32192135544745004,3.0328982537761733,level_level_100-500
5,71,-0.010080331326035745,0.14609758888873475,2.5581630982648833,0.4353667967317508,2.967073407898647,level_level_100-500
1,4840,0.0020173559817554558,0.030779536705552207,1.4366556276409779,0.057466225105639125,3.207878223328486,level_level_500-2000
2,2367,0.013545616693537224,0.04966143876941751,1.6145583287471403,0.12312244208688117,3.1875332995700147,level_level_500-2000
3,1280,0.012657342221302244,0.05692157646461622,1.6832440144231622,0.18557591675553836,3.178972003364951,level_level_500-2000
4,914,0.013653792663344228,0.05686872739949321,1.7120636308908284,0.23735416106820784,3.1787073718056846,level_level_500-2000
5,572,0.018665133719747925,0.07285727261471461,1.9343098533840495,0.316286929657679,3.153720829795808,level_level_500-2000
6,505,0.014215119545532418,0.07013500570381526,1.7518241086553201,0.3632920716352936,3.158533559650345,level_level_500-2000
7,335,0.01329795519142198,0.07427716720346698,1.7476846689860126,0.4169974755488422,3.1509089365857865,level_level_500-2000
8,313,0.016944091516168568,0.07718247066690022,1.9573017570720328,0.4691677464107121,3.1467468523139996,level_level_500-2000
9,237,0.01725797080048013,0.08729515021151944,2.056360401399415,0.5360314647764978,3.1266739599765434,level_level_500-2000
10,233,0.008661972366338047,0.08311663554274208,1.8933092521302517,0.5669341502735042,3.135232084752756,level_level_500-2000
11,163,0.027844295464664312,0.09977275560554907,2.1181628588565533,0.6522913874020975,3.0929351673741463,level_level_500-2000
12,161,0.00854912053341836,0.10592699530990365,2.160365946853562,0.6936844948504957,3.088355172390985,level_level_500-2000
13,133,0.005709696674480042,0.11638420778384012,2.4599174849249748,0.7368643495141229,3.065720180161794,level_level_500-2000
14,142,0.02112143123728938,0.10984461809533436,2.331127253452967,0.7725420862028544,3.0733225328222975,level_level_500-2000
15,104,0.005347601653742441,0.12619094012566792,2.5616354649494464,0.8252580566946219,3.0339411962702276,level_level_500-2000
16,98,0.010299974711300442,0.11760488556763463,2.408709281537178,0.8496501252711226,3.0516324603393397,level_level_500-2000
17,76,0.006867570085360213,0.14279208585295403,2.789405784131265,0.893241323303347,2.984084729972346,level_level_500-2000
18,91,-0.01294060061484323,0.13948064883279537,2.62714353464598,0.9128156237827725,2.9939659673219223,level_level_500-2000
19,55,0.0020319235537289778,0.1589425633690738,2.782146436610331,0.9526600918947656,2.9227403847561453,level_level_500-2000
20,70,-0.0036169349508755094,0.14498300861742155,3.1455634037235054,0.9420048515860046,2.9894987297506406,level_level_500-2000
21,60,0.3289004413658642,0.19734939333952972,9.201088328852652,0.9900167929722932,2.269158404886034,level_level_500-2000
22,66,0.3733077679012779,0.17026042727491264,10.144499121677914,0.9926624060670279,2.2323133994101867,level_level_500-2000
24,64,0.3519629504013642,0.18642491416367357,9.635963948011334,0.9984153696872998,2.2331318641658484,level_level_500-2000
26,54,0.3748274152296771,0.17869415825354848,10.166914629949051,1.0,2.197052296696041,level_level_500-2000
27,51,0.3923732339594511,0.18306843647704085,10.69863459703953,1.0,2.137082509351523,level_level_500-2000
1,11412,0.0027588866616867955,0.025923380533149156,1.387635240789935,0.05550540963159739,3.210981816294526,level_level_2000+
2,5200,0.014910792460221041,0.038326280488392546,1.4625867745321062,0.11519801756397846,3.1988956633465664,level_level_2000+
3,2799,0.013713671465780803,0.04453598829031173,1.5283390968285424,0.17385744241497214,3.193031427565462,level_level_2000+
4,2106,0.01720550054969687,0.044699013448196906,1.543925339544467,0.2234777472546888,3.1916669653971677,level_level_2000+
5,1447,0.021227720415426986,0.04996337159650235,1.6967325966305693,0.28485357527511096,3.1845142973601877,level_level_2000+
6,1262,0.015343397372132563,0.05462708973671433,1.618383625384803,0.3343926801078354,3.1807715190710897,level_level_2000+
7,817,0.018779555298627928,0.054989380460406356,1.707035614938854,0.38329928916799216,3.17920599234358,level_level_2000+
8,962,0.016558409430950206,0.05624045872276012,1.6895427865235788,0.42957386405078357,3.178406610175531,level_level_2000+
9,661,0.01608174647758627,0.06098863080208519,1.6567137239873886,0.48614113613826876,3.1720590259398547,level_level_2000+
10,646,0.014237155166950751,0.0693059536415109,1.7710703490988828,0.5413732976326151,3.159526548579254,level_level_2000+
11,503,0.022696823003213424,0.06982345952360207,1.8117847107312506,0.5850672244236846,3.155979499393003,level_level_2000+
12,557,0.011898354329506413,0.06703846172626474,1.7062211664471527,0.615245779182572,3.1640742220131157,level_level_2000+
13,439,0.009479485401161447,0.07940216413219503,1.9166965976863644,0.6741683281028014,3.1454836567358093,level_level_2000+
14,450,0.010252115837050678,0.06418304985963966,1.7199849029106278,0.6880055705239692,3.1689967999500652,level_level_2000+
15,402,0.005370633414748681,0.0684266152548688,1.7553755307393342,0.7280375674208603,3.163094362322275,level_level_2000+
16,422,0.010020713253951229,0.0686789112844485,1.8362434483073562,0.7643223465649863,3.161747055311078,level_level_2000+
17,339,0.010227667725954345,0.08330166273589913,1.9423336970821092,0.8156127399985942,3.1369844915914262,level_level_2000+
18,383,0.007165313792522522,0.06821713091485662,1.7153785526265601,0.8277572919545565,3.1626890108298666,level_level_2000+
19,292,0.014604483296488936,0.08354363757702157,1.9408042466138447,0.8710491538180524,3.136135420999658,level_level_2000+
20,313,0.004846328853115012,0.07793050540123043,1.8631753758673855,0.89528081727516,3.1465677089979924,level_level_2000+
21,245,0.31802564677836614,0.15873858536570915,8.882003593041158,0.9722782059432078,2.4586907220268026,level_level_2000+
22,278,0.3186869090828457,0.15621041765516192,8.88451600536142,0.9797074377566111,2.465400079858043,level_level_2000+
23,239,0.33082087620738215,0.16530022830347668,9.267867505036847,0.9881087727550324,2.4126508853457733,level_level_2000+
24,270,0.31037010808808163,0.15360267576032993,8.64637670408137,0.9936032923038374,2.4925378559059217,level_level_2000+
