model_name,target_name,task_type,log_transform,n_features,train_time_s,metrics
LogisticRegression,analytic_rank,classification,False,100,96.23,"{'accuracy': 0.86695, 'f1_macro': 0.7775238849498135, 'f1_weighted': 0.8717077406477743, 'precision_macro': 0.7177439420200206, 'recall_macro': 0.9203785211510453}"
RandomForest,analytic_rank,classification,False,100,4.93,"{'accuracy': 0.80875, 'f1_macro': 0.6578234464309601, 'f1_weighted': 0.79542269736312, 'precision_macro': 0.7963725887015652, 'recall_macro': 0.6021731512579586}"
GradientBoosting,analytic_rank,classification,False,100,670.69,"{'accuracy': 0.829975, 'f1_macro': 0.7536106211558898, 'f1_weighted': 0.8276509367869985, 'precision_macro': 0.7939731116534893, 'recall_macro': 0.723184595525796}"
MLP (128->64),analytic_rank,classification,False,100,670.95,"{'accuracy': 0.943825, 'f1_macro': 0.9053102787377121, 'f1_weighted': 0.9437390994449782, 'precision_macro': 0.9160489153845303, 'recall_macro': 0.895312647469115}"
XGBoost,analytic_rank,classification,False,100,48.9,"{'accuracy': 0.8545, 'f1_macro': 0.807935245584007, 'f1_weighted': 0.8537891935867159, 'precision_macro': 0.8256896768840877, 'recall_macro': 0.7921704859871804}"
StackingEnsemble,analytic_rank,classification,False,100,1393.86,"{'accuracy': 0.8741, 'f1_macro': 0.7984575392523346, 'f1_weighted': 0.8775946647341687, 'precision_macro': 0.7390939072741521, 'recall_macro': 0.9208362099938374}"
RandomForest,dim,regression,False,100,17.96,"{'r2': 0.9999986719664352, 'mae': 0.002334499999999966, 'mse': 0.004283779999999987, 'rmse': 0.06545059205232591}"
GradientBoosting,dim,regression,False,100,228.48,"{'r2': 0.9999976483819946, 'mae': 0.014233826423860438, 'mse': 0.007585511726535071, 'rmse': 0.08709484328325685}"
MLP (128->64),dim,regression,False,100,237.05,"{'r2': 0.9999576450743707, 'mae': 0.22319052435113007, 'mse': 0.13662243795418044, 'rmse': 0.36962472584255024}"
XGBoost,dim,regression,False,100,8.23,"{'r2': 0.9983215653018251, 'mae': 0.3523900895625353, 'mse': 5.4140536668256285, 'rmse': 2.3268119104959104}"
StackingEnsemble,dim,regression,False,100,519.8,"{'r2': 0.9999988489694424, 'mae': 0.008306144457522325, 'mse': 0.0037128291128822708, 'rmse': 0.060932988707942684}"
RandomForest,analytic_conductor,regression,True,100,62.04,"{'r2': 0.2485360088909182, 'mae': 0.454699158078227, 'mse': 0.38181766384136734, 'rmse': 0.6179139615200221}"
GradientBoosting,analytic_conductor,regression,True,100,230.8,"{'r2': 0.20771948039030397, 'mae': 0.47368899879275067, 'mse': 0.40255647733423755, 'rmse': 0.6344733858360314}"
MLP (128->64),analytic_conductor,regression,True,100,1224.93,"{'r2': 0.6921859361485594, 'mae': 0.2330080011574672, 'mse': 0.15639983837923402, 'rmse': 0.39547419432781455}"
XGBoost,analytic_conductor,regression,True,100,11.27,"{'r2': 0.2727005929381966, 'mae': 0.44324136817832516, 'mse': 0.369539676954713, 'rmse': 0.6078977520559794}"
StackingEnsemble,analytic_conductor,regression,True,100,1034.89,"{'r2': 0.25601923718833497, 'mae': 0.450001716842268, 'mse': 0.3780154473941171, 'rmse': 0.6148296084234371}"
LogisticRegression,is_cm,classification,False,100,1.12,"{'accuracy': 0.75245, 'f1_macro': 0.4356219607577154, 'f1_weighted': 0.8567696226640928, 'precision_macro': 0.5029335511745487, 'recall_macro': 0.7712485066209691}"
RandomForest,is_cm,classification,False,100,1.71,"{'accuracy': 0.998425, 'f1_macro': 0.7591475889096639, 'f1_weighted': 0.9982389506949308, 'precision_macro': 0.8394117647058823, 'recall_macro': 0.7096761373880874}"
GradientBoosting,is_cm,classification,False,100,223.61,"{'accuracy': 0.9983, 'f1_macro': 0.778794959517851, 'f1_weighted': 0.9982559293197848, 'precision_macro': 0.794044679485266, 'recall_macro': 0.7650563378495775}"
MLP (128->64),is_cm,classification,False,100,61.46,"{'accuracy': 0.997975, 'f1_macro': 0.49949323690236364, 'f1_weighted': 0.9969635261952728, 'precision_macro': 0.4989875, 'recall_macro': 0.5}"
XGBoost,is_cm,classification,False,100,7.36,"{'accuracy': 0.9986, 'f1_macro': 0.8052049244195107, 'f1_weighted': 0.9985126577840112, 'precision_macro': 0.8487431196197504, 'recall_macro': 0.7713669563582304}"
StackingEnsemble,is_cm,classification,False,100,453.9,"{'accuracy': 0.9939, 'f1_macro': 0.6964870616414875, 'f1_weighted': 0.9957177071189706, 'precision_macro': 0.6238264075287201, 'recall_macro': 0.9907834970754048}"
